Year,Month,Temp_C,Precip_cm,Grain_cm,NumDeer,NumBears
2025,1,-17.78,0.00,7.62,2,0
2025,2,2.15,31.60,26.75,2,0
2025,3,16.40,28.51,21.96,3,0
2025,4,21.36,33.87,14.34,3,0
2025,5,22.61,33.63,6.72,4,0
2025,6,28.20,20.04,0.00,3,1
2025,7,23.52,14.44,0.00,2,0
2025,8,20.56,5.33,0.00,1,0
2025,9,18.92,0.80,0.00,1,0
2025,10,15.85,1.53,0.00,1,0
2025,11,5.02,11.72,20.02,1,0
2025,12,8.81,10.29,29.02,1,0
2026,1,8.40,19.23,43.77,1,0
2026,2,12.84,33.11,44.06,1,0
2026,3,11.17,37.36,47.16,2,0
2026,4,23.20,36.16,42.08,2,0
2026,5,27.99,32.24,37.00,2,0
2026,6,26.79,26.53,31.92,3,0
2026,7,21.39,9.55,24.30,3,0
2026,8,27.79,7.10,16.68,4,0
2026,9,19.53,0.00,6.53,3,1
2026,10,17.16,3.76,0.00,2,0
2026,11,9.13,8.21,4.37,1,0
2026,12,6.27,18.75,27.39,1,0
2027,1,6.17,19.37,51.00,1,0
2027,2,10.46,31.08,57.45,2,0
2027,3,17.86,36.56,52.44,3,0
2027,4,21.36,33.12,44.83,4,0
2027,5,23.19,30.37,34.67,3,1
2027,6,25.69,26.26,27.05,4,0
2027,7,25.00,11.05,16.89,3,1
2027,8,28.73,6.80,9.27,3,0
2027,9,15.68,0.00,1.83,3,0
2027,10,10.78,4.03,0.00,3,0
2027,11,6.89,11.79,11.24,2,0
2027,12,2.99,13.85,29.29,2,0
2028,1,3.75,21.85,53.65,2,0
2028,2,2.26,30.35,73.70,3,0
2028,3,14.74,33.92,66.96,3,0
2028,4,19.27,32.18,59.36,4,0
2028,5,24.56,28.16,49.20,3,1
2028,6,28.44,19.53,41.58,3,0
2028,7,27.49,18.20,33.96,3,0
2028,8,22.77,10.77,26.34,4,0
2028,9,18.77,6.73,16.20,5,1
2028,10,12.54,0.00,4.85,4,1
2028,11,5.60,10.00,14.89,3,1
2028,12,10.25,12.90,15.31,4,0
2029,1,6.97,18.63,28.22,3,1
2029,2,10.09,27.76,31.36,3,0
2029,3,11.51,32.57,29.32,4,0
2029,4,22.75,33.03,19.16,5,1
2029,5,20.50,28.98,6.46,4,1
2029,6,23.32,24.60,0.00,3,1
2029,7,29.11,16.06,0.00,3,0
2029,8,26.24,3.00,0.00,3,0
2029,9,21.31,4.51,0.00,3,0
2029,10,15.30,2.67,0.00,3,0
2029,11,6.49,7.28,8.39,3,0
2029,12,4.22,16.61,27.76,3,0
2030,1,0.60,26.44,38.98,4,0
2030,2,2.97,29.26,56.57,3,1
2030,3,9.66,32.84,60.54,3,0
2030,4,17.11,34.64,53.07,4,0
2030,5,20.70,31.20,42.91,3,1
2030,6,27.02,23.79,35.29,3,0
2030,7,30.95,17.99,27.67,3,0
2030,8,27.35,2.97,20.05,3,0
2030,9,23.91,0.00,12.43,4,0
2030,10,10.54,3.26,6.56,4,1
2030,11,9.54,6.54,3.98,3,1
2030,12,3.08,16.01,21.40,3,0
